accounting,standard,statement
us-gaap:PreferredStockDividendsAndOtherAdjustments,Pref. Dividends and Other Adj.,IS
us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic,NI to Common Incl Extra Items,IS
us-gaap:EarningsPerShareBasic,Basic EPS,IS
us-gaap:IncomeLossFromContinuingOperationsPerBasicShare,Basic EPS Excl. Extra Items,IS
us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Weighted Avg. Basic Shares Out.,IS
us-gaap:EarningsPerShareDiluted,Diluted EPS,IS
us-gaap:IncomeLossFromContinuingOperationsPerDilutedShare,Diluted EPS Excl. Extra Items,IS
us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Weighted Avg. Diluted Shares Out.,IS
us-gaap:CommonStockDividendsPerShareDeclared,Dividends per Share,IS
us-gaap:Revenues,As Reported Total Revenue*,IS
us-gaap:CurrentStateAndLocalTaxExpenseBenefit,Current State & Local Taxes,IS
us-gaap:CurrentFederalTaxExpenseBenefit,Current Federal Taxes,IS
us-gaap:CurrentForeignTaxExpenseBenefit,Current Foreign Taxes,IS
us-gaap:CurrentIncomeTaxExpenseBenefit,Total Current Taxes,IS
us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,Deferred State & Local Taxes,IS
us-gaap:DeferredFederalIncomeTaxExpenseBenefit,Deferred Federal Taxes,IS
us-gaap:DeferredForeignIncomeTaxExpenseBenefit,Deferred Foreign Taxes,IS
us-gaap:DeferredIncomeTaxExpenseBenefit,Total Deferred Taxes,IS
us-gaap:AdvertisingExpense,Advertising Exp.,IS
us-gaap:MarketingAndAdvertisingExpense,Selling and Marketing Exp.,IS
us-gaap:SellingGeneralAndAdministrativeExpense,Selling and Marketing Exp.,IS
us-gaap:ResearchAndDevelopmentExpense,R&D Exp.,IS
us-gaap:OperatingLeasesRentExpenseNet,Net Rental Exp.,IS
us-gaap:AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,"Stock-Based Comp., Total",IS
,,
us-gaap:NetIncomeLoss,Net Income,CS
us-gaap:NetIncomeLoss,Net Income,CS
msft:DepreciationAmortizationAndOther,Depreciation & Amort.,CS
msft:DepreciationAmortizationAndOtherNoncashItems,Depreciation & Amort.,CS
us-gaap:ShareBasedCompensation,Stock-Based Compensation,CS
us-gaap:AllocatedShareBasedCompensationExpense,Stock-Based Compensation,CS
us-gaap:IncreaseDecreaseInAccountsReceivable,Change in Acc. Receivable,CS
us-gaap:IncreaseDecreaseInInventories,Change In Inventories,CS
us-gaap:IncreaseDecreaseInAccountsPayable,Change in Acc. Payable,CS
us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Change in Unearned Rev.,CS
us-gaap:NetCashProvidedByUsedInOperatingActivities,Cash from Ops.,CS
us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,Cash from Ops.,CS
us-gaap:ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,Short Term Debt Issued,CS
us-gaap:ProceedsFromDebtMaturingInMoreThanThreeMonths,Long Term Debt Issued,CS
