standard,gaap_tag,statement,,,,
Other Investing Activities,ChangesInOtherAssets,cash_flow,,,,
Other Investing Activities,PaymentsForIntangibleAssetsAndOtherAssets,cash_flow,,,,
Other Investing Activities,ProceedsFromInvestmentSalesAndFromDivestitureOfBusiness,cash_flow,,,,
Other Investing Activities,ProceedsFromDivestitureOfBusinesses,cash_flow,,,,
Other Investing Activities,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireMarketableSecurities,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireAvailableForSaleSecurities,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireHeldToMaturitySecurities,cash_flow,,,,
Other Investing Activities,ProceedsFromDivestitureOfBusinessesAndOther,cash_flow,,,,
Other Investing Activities,RepaymentsOfDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfLongTermDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfSeniorDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfOtherDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfDebtAndCapitalLeaseObligations,cash_flow,,,,
Other Investing Activities,RepaymentOfDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfShortTermDebt,cash_flow,,,,
Other Investing Activities,ProceedsFromRepaymentsOfDebt,cash_flow,,,,
Other Investing Activities,PaymentOfDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfLinesOfCredit,cash_flow,,,,
Other Investing Activities,RepaymentsOfAssumedDebt,cash_flow,,,,
Other Investing Activities,RepaymentsOfNotesPayable,cash_flow,,Other Investing Activities,ProceedsFromSaleOfBusinessesAndOtherInvestingActivities,cash_flow
,,,,,,
Other Investing Activities,PaymentsToAcquireBusinessesNetOfCashAcquired,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireBusinessesAndInterestInAffiliates,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireBusinessesGross,cash_flow,,,,
Other Investing Activities,ReturnOfDepositOnTerminatedPurchaseAgreement,cash_flow,,,,
Other Investing Activities,NoncashOrPartNoncashAcquisitionInvestmentsAcquired1,cash_flow,,,,
Other Investing Activities,ProceedsFromPaymentsForTradingSecurities,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInTradingSecurities,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInRestrictedCash,cash_flow,,,,
Other Investing Activities,IncreaseDecreaseInDepositOtherAssets,cash_flow,,,,
Other Investing Activities,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfEquityMethodInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleOfProductiveAssets,cash_flow,,,,
Other Investing Activities,ProceedsfromSaleofSolarElectricProductionProjects,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireIntangibleAssets,cash_flow,,,,
Other Investing Activities,PaymentsForProceedsFromDividendsOnTradingSecuritiesHeldInTrust,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,cash_flow,,,,
Other Investing Activities,ProceedsFromSaleAndCollectionOfReceivables,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireBusinessesAndAssetsNetOfCashAcquiredAndOther,cash_flow,,,,
Other Investing Activities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,cash_flow,,,,
Other Investing Activities,PaymentsForDerivativeInstrumentInvestingActivities,cash_flow,,,,
Other Investing Activities,ProceedsFromCollectionOfFinanceReceivables,cash_flow,,,,
Other Investing Activities,ProceedsFromCollectionOfAdvanceToAffiliate,cash_flow,,,,
